"!",16412869
"""",6850735
"#",8078
"$",4204
"%",16045
"&",44910
"'",724245
"(",1462579
")",1488852
"*",1241873
"+",11374
",",248476166
"-",61241400
".",197081929
"/",132919
":",9853059
";",2670714
"<",238041
"=",89239
">",243507
"?",22704802
"@",7523
"ACK",13
"BEL",72
"BS",4
"CAN",101
"CR",112234549
"DC1",68
"DC2",183
"DC3",661
"DC4",18862
"DEL",35
"DLE",103
"EM",23
"ENQ",44
"EOT",95
"ESC",49
"ETB",12
"ETX",44
"FF",1673
"FS",76
"GS",88
"HT",1952399
"LF",116097412
"NAK",1389
"NBSP",28581151
"NUL",17175
"RS",4532118
"SHY",58173
"SI",45
"SOH",336
"SP",2595660989
"STX",147
"SUB",377
"SYN",56
"US",3
"VT",22
"[",141964
"\",5071
"]",142365
"^",6422
"_",561736
"`",11494
"{",31742
"|",5549
"}",31626
"~",12921
"¡",6
"£",47
"¤",661
"¦",3117
"§",1198
"©",414
"«",5333573
"¬",3551
"®",246
"°",5903
"±",240
"µ",3
"¶",35
"·",1303
"¹",1
"»",5327253
"¿",3
"À",5
"Á",40
"Ä",1
"Æ",3
"Ç",2
"È",28
"É",5
"Ê",1
"Í",5
"Ñ",6
"Ò",2
"Ó",1
"Ù",1
"à",72
"á",34
"â",33
"ä",2
"æ",130
"ç",27
"è",42
"é",282
"ê",56
"ë",9
"ì",16
"í",32
"î",8
"ï",5
"ñ",45
"ò",8
"ó",208
"ô",25
"ö",2
"ù",3
"û",2
"ü",8
"ý",1
"þ",159
"Œ",2
"œ",253
"ˆ",4
"Ђ",2250
"Ѓ",234
"Є",1504
"Ѕ",27
"І",434
"Ї",1084
"Ј",2508
"Љ",1157
"Њ",12
"Ћ",13
"Ќ",134
"Ў",112
"Џ",13
"ђ",2640
"ѓ",52
"є",5841
"ѕ",81
"і",5408
"ї",400
"ј",302
"љ",25
"њ",39
"ћ",17
"ќ",102
"ў",10132
"џ",83
"Ґ",40
"ґ",232
"–",19635062
"—",35142653
"‘",2251
"’",70342
"‚",603
"“",707549
"”",670726
"„",75587
"†",664
"‡",602
"•",5866
"…",4275773
"‰",5
"‹",128
"›",105
"€",129
"№",27181
"™",537
"∙",50
"√",1
"─",16895
"│",1451
"┌",21
"┐",23
"└",61
"┘",20
"├",372
"┤",9
"┬",8
"┴",8
"┼",51
"═",21663
"║",1837
"╓",627
"╔",154
"╕",880
"╗",192
"╘",1
"╚",149
"╛",64
"╜",13
"╝",197
"╟",188
"╠",18
"╡",1
"╢",163
"╣",82
"╤",13
"╥",1
"╦",52
"╧",3
"╨",151
"╩",1
"╪",47
"╫",1
"╬",3
"▀",1
"▄",14
"█",8
"░",11
"■",47
