"confidence","encoding","!","""","%","&","'","(",")","*","+",",","-",".","/",":",";","<","=",">","?","@","CR","HT","LF","NBSP","RS","SP","[","\","]","^","_","`","{","|","}","~","©","«","®","°","»","ѕ","ј","–","—","‘","’","“","”","„","•","…","№","file name"
0.99,"utf-8",524,"","","","",14,14,14,"",9590,3140,4692,"",311,581,80,"",80,346,"",8598,"",8603,"","",107127,"","","","",104,"","","","","","","","",6,"","","","","","","","","","","","","","test\data\mixed_endlines\ЗЕМЛЯ САННИКОВА.TXT"
0.99,"utf-8",567,"","","",6,19,19,68,10,9538,3246,4867,2,226,272,108,"",108,379,"",9552,"",9552,"","",115203,"","","","",510,"","","","","","","","","","","","","","","","","","","","","","","test\data\mixed_endlines\ПЛУТОНИЯ.TXT"
0.99,"utf-8",272,3,"","","",10,10,"","",3642,"",2979,"",59,3,"","","",306,"",1357,"",1357,2145,326,41660,"","","","","","","","","","","",57,"","",57,"","",1,2446,"","","","","","",98,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 01.txt"
0.9439964593413966,"windows-1251",496,1,"","","",5,5,"","",2838,"",2401,"",145,6,"","","",367,"",1372,"",1372,1976,389,30920,"","","","","","","","","","","",94,"","",93,"","",1,2199,"","","","","","",166,20,"test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 02.txt"
0.99,"windows-1251",324,1,"","","",6,4,"","",3823,"",3179,"",67,3,"",3,"",320,"",1310,"",1310,2080,507,42320,"","","","","","","","","","","",51,"","",51,"","",1,2363,"",1,"","","","",80,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 03.txt"
0.99,"windows-1251",176,"","","","",5,5,"","",3790,"",2809,"",118,24,"","","",223,"",1322,"",1322,1652,418,40061,"","","","","","","","","","","",28,"","",28,"","",1,1793,"","",1,"",1,"",80,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 04.txt"
0.99,"windows-1251",352,1,"","",1,2,2,"","",3061,"",2788,2,55,6,"","","",266,"",1322,"",1322,1864,248,34997,"",1,1,"","","","","","","","",64,"","",64,"","",1,2016,"","","","","","",64,1,"test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 05.txt"
0.99,"windows-1251",324,"","","","","","","","",3529,"",2832,"",217,19,"","","",212,"",1193,"",1193,1665,327,38297,"",1,"","","","","","","","","",52,"","",52,"","",1,2015,"","","","","","",67,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 06.txt"
0.99,"windows-1251",181,"","","","",2,2,"","",3611,"",2318,"",98,2,"","","",223,"",1190,"",1190,1882,303,33809,"","","","","","","","","","","",178,"","",176,"","",1,2063,"","",3,"",3,"",59,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 07.txt"
0.99,"windows-1251",250,"","","","",1,1,"","",2987,"",2475,"",107,3,"","","",191,"",1040,"",1040,1341,266,32308,"","","","","","","","","","","",62,"","",62,"","",1,1491,"","","","","","",36,"","test\data\series\AЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА-33\АЛЬФРЕД ХИЧКОК И ТРИ СЫЩИКА 08.txt"
